"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0238561738560751,0.0332535546655896,0.000297803079241035,0.00961294261249739,0.517883145973476,60270.9528723251
"Std.",2.06025249579707e-05,0.000278857400945378,0.000269905907084777,0.000409092338164954,0.000577682847370192,1.52976761464865
"Acceptance ratio",0.1046,0.18134,0.16996,0.10856,0.21716,0.574
"0%",0.0237782769236632,0.0320681864029368,3.09625825588251e-08,0.00831464208727189,0.515662541909259,60256.8767887304
"2.5%",0.0238156991741931,0.0325283855354019,6.58858295427124e-06,0.00886697476639939,0.516736738226387,60267.1342033368
"5%",0.0238234088354678,0.0326776707156655,1.74076937904149e-05,0.008957094460372,0.51693942450474,60268.0454014727
"7.5%",0.0238270098292466,0.0327698688810324,2.60595385806698e-05,0.00902305613863886,0.517059506776815,60268.5487996634
"10%",0.0238301156204343,0.0328373974248918,3.40401362261154e-05,0.00909287745819157,0.517141718875245,60268.9118693148
"12.5%",0.0238326015514313,0.0328965371136516,4.31283335298197e-05,0.0091347244203338,0.517223091495831,60269.2113874879
"15%",0.0238352255086459,0.0329616900164319,5.34791158458032e-05,0.00917314504789994,0.517282543092604,60269.4687966341
"17.5%",0.0238374106767293,0.033007344592188,6.36275773709319e-05,0.00921497779632041,0.51734404418844,60269.6927602372
"20%",0.0238393514857433,0.0330594768825444,7.35738127518078e-05,0.00925529160443983,0.517399214984359,60269.8723765307
"22.5%",0.0238409551868063,0.0330940816880233,8.4563462725832e-05,0.00928728003420564,0.517443533507187,60270.0454809344
"25%",0.0238424309602087,0.0331223648537082,9.34819542185475e-05,0.0093253627741035,0.517485905321365,60270.1961497093
"27.5%",0.0238440784003873,0.0331506840842714,0.000105201524291927,0.00935386223255327,0.517530872506053,60270.3348162233
"30%",0.0238454204640611,0.0331801075165464,0.000116912218538843,0.0093772790384954,0.517582525974917,60270.4716230457
"32.5%",0.0238470795670711,0.0332006222592293,0.000129044176604806,0.00940611725995209,0.51762454820134,60270.5933716987
"35%",0.0238483339980402,0.0332219930415882,0.000142059417063886,0.00943639903292928,0.517665456876217,60270.7034331012
"37.5%",0.023849446907728,0.0332415683029191,0.000155047663409918,0.00946531578050575,0.517704033847198,60270.8080063219
"40%",0.023851015877763,0.0332605873349541,0.000166045145493157,0.00950183837821472,0.517741215782668,60270.9037652641
"42.5%",0.0238520050449883,0.033277948839607,0.000180144493394154,0.00952743984860326,0.51777499709167,60271.0013448894
"45%",0.0238533539136922,0.0332958022647706,0.000191665925938343,0.00955769006727282,0.517811777312955,60271.0870468503
"47.5%",0.023854654368166,0.0333113876420485,0.000203613069611122,0.00958851862194881,0.517851282005736,60271.16931152
"50%",0.0238559904248778,0.0333277911215528,0.00021650084168205,0.00961547531855004,0.517888342624017,60271.2529694939
"52.5%",0.0238569288623754,0.033340149131088,0.000229837276772892,0.009641823755243,0.51792790605572,60271.3359492809
"55%",0.0238580607519976,0.0333542632239717,0.00024431763441692,0.00966599432303944,0.517959779019117,60271.4203373005
"57.5%",0.0238596278090381,0.0333671322577237,0.000260146120955358,0.00969514057307891,0.517992002679216,60271.5050279953
"60%",0.0238612306784733,0.0333802635246979,0.000276625011778739,0.00972382445705909,0.518034450517454,60271.5823163548
"62.5%",0.0238625394614998,0.0333915251436392,0.000296065526728368,0.00974506086370231,0.51806980723409,60271.6665414219
"65%",0.0238637482178646,0.0334034461861944,0.000320063942720142,0.00976525468833796,0.518108520630023,60271.7424042088
"67.5%",0.0238651394850972,0.0334166453761049,0.000343970335091754,0.00979393283233263,0.518144598172144,60271.819958446
"70%",0.02386665394353,0.0334276884493722,0.000367052158144656,0.00982260650892898,0.518188242561533,60271.8992782388
"72.5%",0.0238682386787469,0.0334399166705337,0.000390576884506483,0.00985030805803306,0.518226978274577,60271.9836722841
"75%",0.0238700634826034,0.0334514353807202,0.0004153031039205,0.00988530085146896,0.518269972206731,60272.0593064669
"77.5%",0.0238717975826614,0.0334659695594628,0.000444902499891219,0.00992187701887484,0.518321508888681,60272.1375547965
"80%",0.0238734897061687,0.0334788692326803,0.000484922275043247,0.00995421963002054,0.518369803617469,60272.2173716508
"82.5%",0.0238755942886887,0.0334921213718092,0.000524549347445981,0.00999538135899583,0.518415621917262,60272.2977810623
"85%",0.0238775111412951,0.0335074197837017,0.000576964482778883,0.0100349479269878,0.518471275880078,60272.3830846242
"87.5%",0.0238799424014837,0.0335228871129388,0.000641401344580401,0.0100764909061999,0.518542528461435,60272.4757290754
"90%",0.0238824202682899,0.0335395738393011,0.000698353421196677,0.0101348414984516,0.518612804310602,60272.576158581
"92.5%",0.0238858588162437,0.033555326106728,0.000783004565539346,0.010200769975892,0.518701151020446,60272.6915104228
"95%",0.0238901049768391,0.033576251556151,0.000878085163974209,0.0102994905093849,0.518832745103876,60272.8122457567
"97.5%",0.0238977919076931,0.033613929168315,0.00100863729998168,0.0104482911245954,0.519026078705528,60272.9910230612
"100%",0.0239293649339587,0.033831513654638,0.00153076887175584,0.0112281136309742,0.519997492593655,60273.475323368
